"D:\WindowsNoEditor\PythonAPI\examples	t\out00074488.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00074489.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00074591.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00074592.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00074729.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00074730.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00075085.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00075086.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00075435.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00075436.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00075983.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00075984.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076099.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076100.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076204.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076205.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076390.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076391.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076539.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076540.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076878.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00076879.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00077419.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00077420.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00077528.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00077529.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00077886.jpg",[1 0 0 0]
"D:\WindowsNoEditor\PythonAPI\examples	t\out00077887.jpg",[1 0 0 0]
